state,Population2000,Population2010
MA,6349048,6547612
RI,1048319,1052581
NH,1235735,1316573
ME,1273094,1328255
VT,608822,625741
CT,3405565,3574097
NY,18974619,19374988
NJ,8415215,8794983
PA,12280587,12702375
DE,783600,897925
DC,572059,601723
VA,7078258,8001239
MD,5296486,5773561
WV,1807896,1852774
NC,8049254,9535477
SC,4011769,4625364
GA,8185503,9677109
FL,15979631,18801226
TN,5655094,6322479
AL,4455239,4789037
AR,2696809,2940523
KY,4053632,4351125
MS,2834184,2957874
OH,11353002,11536514
IN,6080485,6483792
MI,9938204,9883612
IA,2899823,3019419
IL,12449323,12861259
WI,5363662,5687012
MN,4916019,5300989
SD,752491,811543
ND,643515,673702
MT,902241,990003
MO,5593653,5987135
KS,2688185,2853186
NE,1712889,1828372
LA,4465946,4532830
OK,3450726,3751638
TX,20835749,25135836
NM,1820010,2062616
CO,4301215,5029474
WY,491229,561662
ID,1299361,1573946
UT,2230615,2761810
AZ,5137014,6398641
NV,1992812,2699808
CA,33866207,37251248
HI,1211489,1360301
OR,3451396,3865760
WA,5855278,6683252
AK,624992,709930
