State,Income2000,Income2007,Income2008,Income2009,Income2010
Alabama,24067,32528,33952,32661,33516
Alaska,30508,41316,44801,43233,44205
Arizona,26293,35441,36054,33957,34553
Arkansas,22574,31353,32834,31969,32678
California,33404,43211,43993,41353,42578
Colorado,33986,42724,44164,41317,42226
Connecticut,41920,55859,56904,53573,54877
Delaware,31009,39808,40549,38626,39664
District of Columbia,40462,65329,70653,67775,70044
Florida,29079,39256,39958,37387,38222
Georgia,28541,35369,35863,34081,34800
Hawaii,29024,39946,41507,40681,41661
Idaho,24685,32607,33108,31031,31986
Illinois,32645,41950,43498,41058,42057
Indiana,27459,33645,34890,33363,34042
Iowa,27285,35843,38313,37074,38084
Kansas,28468,37663,40456,38246,39005
Kentucky,24785,31175,32525,31957,32376
Louisiana,23554,35794,37944,36157,37021
Maine,26699,34930,36434,36058,36717
Maryland,34678,46839,48854,47674,49070
Massachusetts,38222,50150,51897,49816,51302
Michigan,29400,34419,35282,33514,34691
Minnesota,32599,41642,43463,41223,42847
Mississippi,21555,29568,30949,30006,31046
Missouri,27885,35521,37737,36243,36965
Montana,23457,33651,35302,33708,35068
Nebraska,28590,37887,40391,38657,39674
Nevada,30977,39872,39824,36519,36919
New Hampshire,34102,42984,44194,42443,43586
New Jersey,38667,50256,52128,49568,51167
New Mexico,22746,31675,33505,32394,33368
New York,34623,47852,49369,46699,48450
North Carolina,27906,34761,35740,34108,34977
North Dakota,25592,36208,40903,39644,42764
Ohio,28695,35183,36392,35145,36180
Oklahoma,24602,34329,37690,34004,35396
Oregon,28728,35950,37399,35571,36427
Pennsylvania,30113,38927,40671,39420,40599
Rhode Island,29498,40349,41819,40706,42095
South Carolina,25076,31990,32962,31646,32460
South Dakota,26421,36993,40306,38240,39593
Tennessee,26689,34221,35126,33802,34955
Texas,28506,37098,39704,36458,37706
Utah,24515,32761,34034,31886,32473
Vermont,28196,37820,39403,38849,40098
Virginia,31634,43261,44688,43187,44246
Washington,32410,42192,44098,41795,42570
West Virginia,22173,29497,31310,31075,31999
Wisconsin,29141,36831,38151,36927,38177
Wyoming,29261,45281,49222,43489,44861
